text	label
Trailer Serije :	1
Ocjena : 8 / 10	1
Sve to vrijeme Assane ostaje odlučan u sužavanju potrage i saznavanju istine .	2
Ipak , čak i uz prilično takve zvučne efekte , film je i dalje bio vrlo ugodan tijekom tih scena .	2
Richard the Stork	1
I konačno Fernando Sucre ( Amaury Nolasco – Transformatori , Telenovela TV serije itd .	1
A onda ima ovakvih , kao što su ‘ Nindža kornjače ” modernog doba .	1
Šta ako postoje alternativne verzije vlastitog svijeta ?	1
Lično mislim da nije toliko loš , da je gledljiv i ima dobrih sekvenci , ali bit će vam još veći doživljaj ako ste jedanaestogodišnje dijete i uživate u svemirskim avanturama i zanimaju vas svemir i galaksije .	2
( TV SERIES ) Trust ( Seasons 1 ) 2018 Recenzija Serije	1
Ovdje nije bilo puno dramatičnog trenutka , ali kao film superherojskog tima , ovaj zasigurno nije razočarao .	3
Užas i amaterizam kakav se dugo nije vidio u svijetu filma .	0
Ovaj film šalje jasnu poruku o svom prihvaćanju različitih kultura , religija i naroda.Richardova upoznavanja s različitim , ali uvijek sebi sličnim likovima je uistinu ono sto će se svidjeti publici kako mlađoj tako i starijoj .	2
Kroz ovu perspektivu s tri lika možemo “ naučiti ” o povijesti i prošlosti Rima .	2
Žanr : Drama | Sport | Recenzija Serija | Netflix Serija	1
Irska je prokleto dobra u ulozi .	2
Još jedan film Transformers ?	1
Nakon smrti , on će prenijeti svoje bogatstvo prvoj osobi koja nađe “ uskrsno jaje ” , skriveno negdje unutar OASIS-a .	1
Novi Spiderman nam je prikazan u ovom filmu i bez šanse da se bunimo , on će već dobiti svoj film s obzirom da su us * ali motku i šefa i stanicu sa nastavkom ” The Amazing Spider-Man ” a , gdje je Jaime Fox trebao da bude negativac koji će unijeti novu dimenziju u film , ali slaba im nafaka bila pa su bržebolje upecali deventaestgodišnjaka Tom Hollanda , kojeg smo upoznali u drami katastrofe ” Lo Impossible ” .	3
Za seriju koja je imala samo 8 epizoda , nije mi trebalo predugo da je dovršim .	1
koji su sada bili čelnici korporacije bili su iznenađeni kada je Danny došao u njihov ured .	1
Na enormno visok budžet od 170 miliona dolara , film je skupio tek nešto više od 105 miliona , ali male , jako male su šanse da će uopšte i premašiti budžet .	0
Bile su i jedna ili dvije scene zastrašivanja skoka koji su svoj posao uradili adekvatno .	2
Prijetnje ” s onoga svijeta ” koja prijeti da uništi čitav svijet i to sve kada se pojavi njegov pravi otac .	0
Je li bilo dobro ?	1
Naziv : City on a Hill TV Series ( 2019 – ) Sezona1	1
Polovica sadržaja u ovom film ne radi ništa , a čini se da je tamo samo kako bi popunio da traje dovoljno dugo , a druga polovica mogla je biti emocionalno rezonantna , ali je puna isto glupog humora .	0
Redatelj : Ryan Coogler	1
U bolnici David je kraj sebe imao imao još jednog pacijenta pod imenom Lenny ( Aubrey Plaza – Dirty Grandpa , Mike and Dave Need Wedding Dates etc ) gdje mu se činilo da mu daje puno savjeta .	1
Ali dopadao mi se Will Patton za koga sam mislio da je savršen kao i ovaj sjenoviti poslovni čovjek malog grada .	2
Eto , može li jednostavnije ?	1
